Ava,4|29
Avantius,11|3
Avatia,6|20
Avelina,2|28
Avenantius,7|14;5|18
Aventinus,2|4
Avertanus,2|25
Avertinus,5|5
Avia,10|21;5|2
Avitius,6|23
Aya,4|18
Aycardus,9|15
Aygulfus,9|4;9|3
Azaria,12|17
Azenor,12|7
Babolenus,6|26
Bacchus,10|7;10|6;9|25;10|8
Baculus,1|29;8|27
Badilo,10|8
Badulfus,8|19
Bainus,6|20
Baitheneus,6|9
Balbina,3|31;10|6
Baldegundis,2|10
Baldomerius,2|27
Baldredus,3|6
Balduinus,8|11;12|31;8|21
Baldus,12|9;10|29
Balsamia,11|14
Balsemius,8|16;8|15
Balthasar,1|11
Baltherus,3|6
Baltramnus,1|18;8|18
Bandaridus,8|1
Bantus,7|31
Baptista,6|2;5|31
Barachius,9|21
Baractalis,10|9
Barbara,9|2;12|5;12|10;2|12;4|18;7|8;12|11;12|4;12|16
Barbarius,11|25
Barbarus,5|14
Barbatianus,12|31
Barbatus,2|28;2|19
Bardon,6|10
Barnaby,6|14;6|12;6|10;6|11;6|18
Barnitus,1|5
Barontus,3|25
Barsabias,10|20
Bartholomeus,6|24;7|1;6|2;6|17;8|24;8|19;8|23;10|25;3|18;4|21;8|31;6|13
Bartholus,6|14
Bartolus,12|13
Bartus,10|6
Basil,3|6;12|31;2|12;10|29
Basilianus,2|11
Basilica,11|18
Basilidis,5|20
Basilissa,1|8;12|5;1|9;1|7;4|15;2|7
Basilla,6|11;9|22;5|20
Basinus,3|4;7|14
Baso,5|7
Basolus,11|26;10|15
Bassianus,10|16;1|19
Bassus,12|5
Batildis,2|26;1|31;3|17;1|30
Baudelius,5|20
Baudimius,1|2
Baudinus,11|7
Baudolinus,11|10
Baumadus,8|4
Baumirus,11|3;11|4
Bavo,10|1
Baya,11|3
Beanus,10|26
Beatrix,1|29
Beatus,7|26;5|9;2|19
Bede,5|28;4|10;5|8;5|27;5|22;6|6;5|26
Bega,9|6;10|31
Begga,12|17
Bellina,9|8
Bellinus,11|26
Bellus,1|23
